story_name,model,tokens,events,scenes,sequels,nones,paragraphs
"The New Minister's Great Opportunity
First published in the ""Century Magazine""",gpt-3.5-turbo,6700,6,4,2,0,126
The Monster That Threatened the Universe,gpt-4o,6290,165,58,9,98,178
The Monster That Threatened the Universe,gpt-3.5-turbo,6421,11,8,3,0,178
The Flight of the Eagle,gpt-4o,7865,16,7,4,5,118
The Flight of the Eagle,gpt-3.5-turbo,7962,5,4,1,0,118
Formula for Conquest,gpt-4o,10022,58,40,8,10,188
Formula for Conquest,gpt-3.5-turbo,10189,8,5,3,0,188
Test For the Pearl,gpt-4o,6986,21,12,8,1,205
Test For the Pearl,gpt-3.5-turbo,7111,4,3,1,0,205
Murder Beneath the Polar Ice,gpt-4o,7411,17,12,2,3,136
Murder Beneath the Polar Ice,gpt-3.5-turbo,7541,8,4,4,0,136
Double-Cross,gpt-4o,4758,80,35,6,39,90
Double-Cross,gpt-3.5-turbo,4789,11,9,2,0,90
Mistake inside,gpt-4o,10533,32,17,6,9,193
Mistake inside,gpt-3.5-turbo,10690,6,5,1,0,193
Beast of prey,gpt-4o,5559,24,11,4,9,98
Beast of prey,gpt-3.5-turbo,5626,5,2,3,0,98
The Valley of the Masters,gpt-4o,9222,47,23,15,9,250
The Valley of the Masters,gpt-3.5-turbo,9301,9,6,3,0,250
He Walked Around the Horses,gpt-4o,11045,12,7,5,0,149
He Walked Around the Horses,gpt-3.5-turbo,11105,13,8,5,0,149
There was an old woman—,gpt-4o,6315,38,8,7,23,120
There was an old woman—,gpt-3.5-turbo,6378,8,5,3,0,120
The Right Thing,gpt-4o,5832,18,7,5,6,126
The Right Thing,gpt-3.5-turbo,5823,11,7,4,0,126
"Letters to his mother, Ann Borrow, and other correspondents",gpt-4o,5288,15,2,3,10,106
"Letters to his mother, Ann Borrow, and other correspondents",gpt-3.5-turbo,5342,10,6,4,0,106
The Toy,gpt-4o,9749,54,37,6,11,309
The Toy,gpt-3.5-turbo,9802,10,8,2,0,309
The Cool War,gpt-4o,7937,13,11,2,0,305
The Cool War,gpt-3.5-turbo,8039,22,20,2,0,305
The Ethic of the Assassin,gpt-4o,11607,54,41,8,5,256
The Ethic of the Assassin,gpt-3.5-turbo,11730,17,7,10,0,256
Headhunters of Nuamerica,gpt-4o,7285,12,10,2,0,121
Headhunters of Nuamerica,gpt-3.5-turbo,7377,8,6,2,0,121
The Pacifists,gpt-4o,4135,22,11,7,4,111
The Pacifists,gpt-3.5-turbo,4242,7,7,0,0,111
Give Back a World,gpt-4o,11993,23,14,6,3,212
Give Back a World,gpt-3.5-turbo,12104,13,8,5,0,212
The Brigade Commander,gpt-4o,14353,14,8,3,3,188
The Brigade Commander,gpt-3.5-turbo,14386,5,4,1,0,188
The Beggar's Purse: A Fairy Tale of Familiar Finance,gpt-4o,8562,23,12,5,6,176
The Beggar's Purse: A Fairy Tale of Familiar Finance,gpt-3.5-turbo,8594,6,5,1,0,176
The Fifty-Fourth of July,gpt-4o,9412,11,9,2,0,157
The Fifty-Fourth of July,gpt-3.5-turbo,9613,6,4,2,0,157
The Best of Fences,gpt-4o,8286,19,9,3,7,234
The Best of Fences,gpt-3.5-turbo,8430,14,11,3,0,234
The Plagiarist From Rigel IV,gpt-4o,7405,16,7,5,4,323
The Plagiarist From Rigel IV,gpt-3.5-turbo,7541,24,13,9,2,323
"The Nest Egg
Captains All, Book 3.",gpt-4o,6027,10,8,1,1,131
"The Nest Egg
Captains All, Book 3.",gpt-3.5-turbo,6173,4,4,0,0,131
The Hand,gpt-4o,5173,32,17,2,13,116
The Hand,gpt-3.5-turbo,5276,6,6,0,0,116
Rescue Mission,gpt-4o,5415,26,17,5,4,177
Rescue Mission,gpt-3.5-turbo,5536,10,8,2,0,177
Time In the Round,gpt-4o,7430,21,10,3,8,186
Time In the Round,gpt-3.5-turbo,7546,7,5,2,0,186
"Frictional Electricity
From ""The Saturday Evening Post.""",gpt-4o,5150,39,23,6,10,74
"Frictional Electricity
From ""The Saturday Evening Post.""",gpt-3.5-turbo,5221,5,4,1,0,74
Oh Mesmerist From Mimas!,gpt-4o,13039,29,19,8,2,269
Oh Mesmerist From Mimas!,gpt-3.5-turbo,13263,10,7,3,0,269
Decidedly Odd,gpt-4o,11197,16,12,3,1,156
Decidedly Odd,gpt-3.5-turbo,11298,9,5,4,0,156
Total Recall,gpt-4o,4618,11,8,2,1,117
Total Recall,gpt-3.5-turbo,4701,7,6,1,0,117
Brotherly House,gpt-4o,13914,18,9,5,4,247
Brotherly House,gpt-3.5-turbo,13983,9,8,1,0,247
Project Hush,gpt-4o,3222,14,7,4,3,60
Project Hush,gpt-3.5-turbo,3266,5,4,1,0,60
Goat-Feathers,gpt-4o,4507,12,5,6,1,32
Goat-Feathers,gpt-3.5-turbo,4561,8,4,4,0,32
To Remember Charlie By,gpt-4o,7234,26,8,6,12,139
To Remember Charlie By,gpt-3.5-turbo,7418,7,4,2,1,139
The Vicious Delinquents,gpt-4o,10264,56,28,18,10,284
The Vicious Delinquents,gpt-3.5-turbo,10392,24,19,5,0,284
Noble Redman,gpt-4o,9212,10,6,4,0,169
Noble Redman,gpt-3.5-turbo,9415,8,5,3,0,169
The Solar Magnet,gpt-4o,13527,46,33,6,7,272
The Solar Magnet,gpt-3.5-turbo,13574,10,7,3,0,272
My sweetheart's the Man in the Moon,gpt-4o,7429,63,27,9,27,184
My sweetheart's the Man in the Moon,gpt-3.5-turbo,7688,19,13,6,0,184
Missing Link,gpt-4o,8637,11,8,3,0,327
Missing Link,gpt-3.5-turbo,8678,6,5,1,0,327
Faithfully Yours,gpt-4o,9238,33,19,4,10,221
Faithfully Yours,gpt-3.5-turbo,9405,9,8,1,0,221
Phantom of the Forest,gpt-4o,7313,15,8,4,3,280
Phantom of the Forest,gpt-3.5-turbo,7455,11,7,4,0,280
Morgue Ship,gpt-4o,5418,55,22,7,26,153
Morgue Ship,gpt-3.5-turbo,5475,8,5,3,0,153
Quinquepedalian,gpt-4o,8522,18,9,6,3,146
Quinquepedalian,gpt-3.5-turbo,8585,9,4,5,0,146
Bad Memory,gpt-4o,3447,23,15,5,3,76
Bad Memory,gpt-3.5-turbo,3487,9,7,2,0,76
The Revealing Pattern,gpt-4o,3211,40,24,2,14,112
The Revealing Pattern,gpt-3.5-turbo,3253,7,4,3,0,112
What Rough Beast?,gpt-4o,8443,212,40,15,157,221
What Rough Beast?,gpt-3.5-turbo,8573,10,7,3,0,221
The lucky little stiff,gpt-4o,4969,23,11,6,6,107
The lucky little stiff,gpt-3.5-turbo,4976,11,5,6,0,107
East in the Morning,gpt-4o,5752,25,12,3,10,105
East in the Morning,gpt-3.5-turbo,5817,11,6,5,0,105
A City Near Centaurus,gpt-4o,6679,25,12,7,6,210
A City Near Centaurus,gpt-3.5-turbo,6714,8,6,2,0,210
A Bad Day for Sales,gpt-4o,3187,8,6,2,0,87
A Bad Day for Sales,gpt-3.5-turbo,3222,6,4,2,0,87
World of Mockery,gpt-4o,4835,21,10,5,6,32
World of Mockery,gpt-3.5-turbo,4858,6,6,0,0,32
"The Inmate Of The Dungeon
1894",gpt-4o,6859,13,6,3,4,96
"The Inmate Of The Dungeon
1894",gpt-3.5-turbo,6914,5,4,1,0,96
Corbow's Theory,gpt-4o,8417,12,7,5,0,111
Corbow's Theory,gpt-3.5-turbo,8488,17,10,7,0,111
A Pail of Air,gpt-4o,7157,12,5,3,4,99
A Pail of Air,gpt-3.5-turbo,7311,9,6,3,0,99
Down Went McGinty,gpt-4o,9186,43,24,8,11,204
Down Went McGinty,gpt-3.5-turbo,9392,17,9,8,0,204
The Hairy Ones,gpt-4o,6799,45,30,9,6,125
The Hairy Ones,gpt-3.5-turbo,6840,11,9,2,0,125
Not in the Rules,gpt-4o,6499,50,18,6,26,115
Not in the Rules,gpt-3.5-turbo,6610,9,5,2,2,115
The gallery gods,gpt-4o,6189,19,9,8,2,75
The gallery gods,gpt-3.5-turbo,6229,10,7,3,0,75
Traveling Companion Wanted,gpt-4o,8515,11,8,3,0,149
Traveling Companion Wanted,gpt-3.5-turbo,8599,6,5,1,0,149
Bridge Crossing,gpt-4o,6623,16,11,5,0,160
Bridge Crossing,gpt-3.5-turbo,6718,16,13,3,0,160
Pen Pal,gpt-4o,6968,14,9,2,3,156
Pen Pal,gpt-3.5-turbo,7079,6,6,0,0,156
"Date of publication, 2083 A.D.",gpt-4o,6344,9,3,1,5,125
"Date of publication, 2083 A.D.",gpt-3.5-turbo,6461,17,12,5,0,125
Medium boiled,gpt-4o,13171,19,9,4,6,265
Medium boiled,gpt-3.5-turbo,13189,11,6,5,0,265
Make me an offer,gpt-4o,3353,9,7,1,1,90
Make me an offer,gpt-3.5-turbo,3415,7,6,1,0,90
A Matter of Order,gpt-4o,5641,10,7,3,0,98
A Matter of Order,gpt-3.5-turbo,5697,7,6,1,0,98
Cold Ghost,gpt-4o,6310,24,11,9,4,121
Cold Ghost,gpt-3.5-turbo,6374,12,7,5,0,121
Esmeralda,gpt-4o,12467,16,9,6,1,225
Esmeralda,gpt-3.5-turbo,12766,4,4,0,0,225
The Cosmic Express,gpt-4o,6504,10,4,3,3,141
The Cosmic Express,gpt-3.5-turbo,6618,7,4,3,0,141
The Eagles Gather,gpt-4o,4202,20,9,4,7,102
The Eagles Gather,gpt-3.5-turbo,4267,9,6,3,0,102
Brief Reflections relative to the Emigrant French Clergy,gpt-4o,5925,8,3,3,2,69
Brief Reflections relative to the Emigrant French Clergy,gpt-3.5-turbo,5960,9,0,0,9,69
The Disembodied Man,gpt-4o,5279,11,7,4,0,200
The Disembodied Man,gpt-3.5-turbo,5417,5,3,1,1,200
Little Britain,gpt-4o,6927,15,2,1,12,31
Little Britain,gpt-3.5-turbo,6985,16,0,0,16,31
The Happy Castaway,gpt-4o,5958,16,8,6,2,161
The Happy Castaway,gpt-3.5-turbo,6051,11,9,2,0,161
Exploiter's End,gpt-4o,9275,73,46,7,20,258
Exploiter's End,gpt-3.5-turbo,9420,14,10,4,0,258
Deadline,gpt-4o,6973,220,64,8,148,201
Deadline,gpt-3.5-turbo,7126,14,6,7,1,201
Ride the Crepe Ring,gpt-4o,6116,24,13,5,6,165
Ride the Crepe Ring,gpt-3.5-turbo,6228,10,5,5,0,165
"The Little Cryptogram
A Literal Application to the Play of Hamlet of the Cipher System of Mr. Ignatius Donnelly.",gpt-4o,7267,10,4,0,6,21
"The Little Cryptogram
A Literal Application to the Play of Hamlet of the Cipher System of Mr. Ignatius Donnelly.",gpt-3.5-turbo,7295,6,4,2,0,21
End as a World,gpt-4o,3005,26,11,2,13,79
End as a World,gpt-3.5-turbo,3085,8,5,3,0,79
Freeway,gpt-4o,6612,21,11,3,7,165
Freeway,gpt-3.5-turbo,6753,11,5,6,0,165
The Lights on Precipice Peak,gpt-4o,6323,39,12,5,22,164
The Lights on Precipice Peak,gpt-3.5-turbo,6387,11,7,4,0,164
"The Indian's Hand
1892",gpt-4o,4102,22,7,5,10,100
"The Indian's Hand
1892",gpt-3.5-turbo,4108,5,3,2,0,100
Satisfaction Guaranteed,gpt-4o,9492,41,28,7,6,344
Satisfaction Guaranteed,gpt-3.5-turbo,9625,14,9,5,0,344
The Air of Castor Oil,gpt-4o,7152,20,13,5,2,261
The Air of Castor Oil,gpt-3.5-turbo,7260,10,8,2,0,261
The Other Now,gpt-4o,6236,12,7,5,0,119
The Other Now,gpt-3.5-turbo,6336,10,7,3,0,119
Thirty Degrees Cattywonkus,gpt-4o,5768,14,11,3,0,153
Thirty Degrees Cattywonkus,gpt-3.5-turbo,5824,10,7,3,0,153
The Addicts,gpt-4o,4620,19,8,2,9,96
The Addicts,gpt-3.5-turbo,4699,4,2,2,0,96
To Be Read at Dusk,gpt-4o,6309,10,6,2,2,104
To Be Read at Dusk,gpt-3.5-turbo,6368,4,3,0,1,104
A Little Knowledge,gpt-4o,4604,110,82,9,19,139
A Little Knowledge,gpt-3.5-turbo,4681,11,8,3,0,139
"Go to sleep, my darling",gpt-4o,5204,19,11,4,4,107
"Go to sleep, my darling",gpt-3.5-turbo,5265,10,8,2,0,107
"Passages from a Relinquished Work (From ""Mosses from an Old Manse"")",gpt-4o,7268,10,5,1,4,47
"Passages from a Relinquished Work (From ""Mosses from an Old Manse"")",gpt-3.5-turbo,7300,5,3,2,0,47
Cool air,gpt-4o,4554,12,6,3,3,28
Cool air,gpt-3.5-turbo,4610,5,4,1,0,28
Mimsy's Joke,gpt-4o,3976,24,13,4,7,76
Mimsy's Joke,gpt-3.5-turbo,4042,8,6,2,0,76
Willie's Planet,gpt-4o,8511,200,89,13,98,203
Willie's Planet,gpt-3.5-turbo,8677,12,9,3,0,203
Heel,gpt-4o,7202,14,10,3,1,140
Heel,gpt-3.5-turbo,7362,15,11,4,0,140
"The Staircase At The Heart's Delight
1894",gpt-4o,8409,13,8,4,1,87
"The Staircase At The Heart's Delight
1894",gpt-3.5-turbo,8433,14,9,5,0,87
Religio Journalistici,gpt-4o,12067,7,2,1,4,72
Religio Journalistici,gpt-3.5-turbo,12122,7,3,4,0,72
"Corporal Tikitanu, V.C.",gpt-4o,8306,14,11,3,0,220
"Corporal Tikitanu, V.C.",gpt-3.5-turbo,8411,11,8,3,0,220
Manners and Customs of the Thrid,gpt-4o,9313,14,8,4,2,162
Manners and Customs of the Thrid,gpt-3.5-turbo,9387,6,5,1,0,162
Shipping Clerk,gpt-4o,7810,15,8,3,4,201
Shipping Clerk,gpt-3.5-turbo,7985,12,6,6,0,201
Welcome to Paradise,gpt-4o,5495,13,5,4,4,125
Welcome to Paradise,gpt-3.5-turbo,5615,5,3,2,0,125
Blessed are the meek,gpt-4o,2288,12,7,2,3,77
Blessed are the meek,gpt-3.5-turbo,2327,6,2,0,4,77
Not Fit for Children,gpt-4o,5072,30,20,1,9,144
Not Fit for Children,gpt-3.5-turbo,5160,17,13,4,0,144
The Big Fix!,gpt-4o,10995,17,11,5,1,270
The Big Fix!,gpt-3.5-turbo,11163,11,6,5,0,270
Honeymoon in bedlam,gpt-4o,8886,27,9,7,11,191
Honeymoon in bedlam,gpt-3.5-turbo,9096,10,10,0,0,191
Suzy,gpt-4o,3258,15,6,5,4,81
Suzy,gpt-3.5-turbo,3362,11,7,4,0,81
The Snowbank Orbit,gpt-4o,7974,14,5,4,5,134
The Snowbank Orbit,gpt-3.5-turbo,8071,7,5,2,0,134
Coming Attraction,gpt-4o,6505,80,34,14,32,167
Coming Attraction,gpt-3.5-turbo,6627,11,7,4,0,167
"The Lost Guidon
1911",gpt-4o,7307,21,7,2,12,89
"The Lost Guidon
1911",gpt-3.5-turbo,7371,10,6,4,0,89
The Men of Boru,gpt-4o,9147,77,40,22,15,232
The Men of Boru,gpt-3.5-turbo,9302,9,7,2,0,232
Beauty contest?,gpt-4o,5631,12,3,2,7,147
Beauty contest?,gpt-3.5-turbo,5729,4,3,1,0,147
Syndrome Johnny,gpt-4o,6514,37,22,6,9,152
Syndrome Johnny,gpt-3.5-turbo,6579,17,10,7,0,152
The Semantic War,gpt-4o,3721,14,7,4,3,60
The Semantic War,gpt-3.5-turbo,3745,13,8,5,0,60
The Last Days of L.A.,gpt-4o,9434,39,13,9,17,189
The Last Days of L.A.,gpt-3.5-turbo,9609,12,8,4,0,189
The Ruinous Face,gpt-4o,9431,17,10,5,2,92
The Ruinous Face,gpt-3.5-turbo,9502,8,6,2,0,92
Nobody saw the ship,gpt-4o,9437,32,19,7,6,83
Nobody saw the ship,gpt-3.5-turbo,9530,9,8,1,0,83
To the sons of tomorrow,gpt-4o,13712,16,11,5,0,292
To the sons of tomorrow,gpt-3.5-turbo,13854,17,13,4,0,292
The silver key,gpt-4o,6465,22,11,4,7,37
The silver key,gpt-3.5-turbo,6509,14,8,6,0,37
A Filbert Is a Nut,gpt-4o,3845,13,7,2,4,99
A Filbert Is a Nut,gpt-3.5-turbo,3888,9,5,4,0,99
Peril of the Blue World,gpt-4o,5438,39,18,8,13,96
Peril of the Blue World,gpt-3.5-turbo,5448,9,6,3,0,96
Boy meets dyevitza,gpt-4o,7954,15,10,3,2,95
Boy meets dyevitza,gpt-3.5-turbo,8013,10,7,3,0,95
The Point of View,gpt-4o,8921,12,9,3,0,112
The Point of View,gpt-3.5-turbo,9003,9,7,2,0,112
World of the Hunter,gpt-4o,5918,15,6,5,4,170
World of the Hunter,gpt-3.5-turbo,6123,10,5,5,0,170
The Course of Logic,gpt-4o,6084,26,12,8,6,112
The Course of Logic,gpt-3.5-turbo,6130,6,5,1,0,112
Fair and Warmer,gpt-4o,8469,40,23,10,7,243
Fair and Warmer,gpt-3.5-turbo,8572,8,5,3,0,243
"A Summer Evening's Dream
1898",gpt-4o,8674,15,10,3,2,90
"A Summer Evening's Dream
1898",gpt-3.5-turbo,8762,9,7,2,0,90
A Matter of Protocol,gpt-4o,6449,14,9,3,2,123
A Matter of Protocol,gpt-3.5-turbo,6516,8,5,3,0,123
Harwood's Vortex,gpt-4o,6401,138,97,21,20,163
Harwood's Vortex,gpt-3.5-turbo,6467,17,11,6,0,163
Second Childhood,gpt-4o,8453,16,10,6,0,213
Second Childhood,gpt-3.5-turbo,8546,11,6,5,0,213
The Bryd,gpt-4o,6230,23,14,5,4,132
The Bryd,gpt-3.5-turbo,6338,8,6,2,0,132
Cinders,gpt-4o,5211,36,23,4,9,142
Cinders,gpt-3.5-turbo,5263,6,5,1,0,142
Rx,gpt-4o,6388,26,21,4,1,114
Rx,gpt-3.5-turbo,6475,7,4,3,0,114
What Inhabits Me?,gpt-4o,13437,20,13,5,2,361
What Inhabits Me?,gpt-3.5-turbo,13541,4,3,1,0,361
The Relics of General Chasse: A Tale of Antwerp,gpt-4o,10973,12,8,4,0,143
The Relics of General Chasse: A Tale of Antwerp,gpt-3.5-turbo,11039,8,5,3,0,143
The Beauty Of The Village,gpt-4o,5771,24,7,3,14,29
The Beauty Of The Village,gpt-3.5-turbo,5844,12,2,4,6,29
Gramp,gpt-4o,3096,17,9,2,6,82
Gramp,gpt-3.5-turbo,3155,11,7,4,0,82
Mindsnake,gpt-4o,7562,121,79,7,35,288
Mindsnake,gpt-3.5-turbo,7689,14,12,2,0,288
The Cosmic Derelict,gpt-4o,9817,13,9,3,1,151
The Cosmic Derelict,gpt-3.5-turbo,10024,12,6,6,0,151
Upside Down or Backwards,gpt-4o,10280,7,5,2,0,286
Upside Down or Backwards,gpt-3.5-turbo,10356,9,6,3,0,286
Through the Asteroids—To Hell!,gpt-4o,11989,26,15,7,4,385
Through the Asteroids—To Hell!,gpt-3.5-turbo,12211,14,9,5,0,385
Evans of the Earth-Guard,gpt-4o,10083,60,37,15,8,150
Evans of the Earth-Guard,gpt-3.5-turbo,10195,17,13,4,0,150
Tubemonkey,gpt-4o,6168,25,9,2,14,128
Tubemonkey,gpt-3.5-turbo,6240,10,7,3,0,128
Dead End,gpt-4o,5531,23,15,1,7,132
Dead End,gpt-3.5-turbo,5594,10,8,2,0,132
The Man Who Played to Lose,gpt-4o,9399,10,7,3,0,205
The Man Who Played to Lose,gpt-3.5-turbo,9584,4,2,2,0,205
The Madcap Metalloids,gpt-4o,6867,31,15,5,11,153
The Madcap Metalloids,gpt-3.5-turbo,6919,8,6,2,0,153
The great illusion,gpt-4o,7426,20,9,7,4,233
The great illusion,gpt-3.5-turbo,7491,9,7,2,0,233
To the lights,gpt-4o,11649,16,7,5,4,128
To the lights,gpt-3.5-turbo,11698,23,11,11,1,128
Message from Venus,gpt-4o,5776,30,19,8,3,142
Message from Venus,gpt-3.5-turbo,5806,11,6,5,0,142
Planet in Reverse,gpt-4o,7923,19,11,6,2,226
Planet in Reverse,gpt-3.5-turbo,7967,10,8,2,0,226
Gangway for Homer,gpt-4o,5360,9,7,2,0,72
Gangway for Homer,gpt-3.5-turbo,5418,7,5,2,0,72
Tolliver's Orbit,gpt-4o,6533,46,24,7,15,194
Tolliver's Orbit,gpt-3.5-turbo,6616,10,7,3,0,194
The Timeless Ones,gpt-4o,5265,14,9,4,1,153
The Timeless Ones,gpt-3.5-turbo,5355,7,6,1,0,153
"P'laski's Tunament
1891",gpt-4o,9948,38,21,3,14,67
"P'laski's Tunament
1891",gpt-3.5-turbo,10117,7,4,3,0,67
Ricardo's Virus,gpt-4o,7690,118,90,20,8,145
Ricardo's Virus,gpt-3.5-turbo,7821,18,11,7,0,145
Meeting of the Board,gpt-4o,7830,12,7,2,3,143
Meeting of the Board,gpt-3.5-turbo,7989,13,10,3,0,143
The Sea Fogs,gpt-4o,4690,12,7,2,3,34
The Sea Fogs,gpt-3.5-turbo,4730,3,2,0,1,34
The Roll-Call Of The Reef,gpt-4o,8652,11,6,2,3,79
The Roll-Call Of The Reef,gpt-3.5-turbo,8743,8,7,1,0,79
The Water Eater,gpt-4o,5229,23,11,2,10,119
The Water Eater,gpt-3.5-turbo,5302,6,5,1,0,119
The Gently Orbiting Blonde,gpt-4o,5164,13,7,3,3,131
The Gently Orbiting Blonde,gpt-3.5-turbo,5266,9,6,3,0,131
Compensation : $b Being an essay as written by Ralph Waldo Emerson,gpt-4o,10392,28,1,1,26,50
Compensation : $b Being an essay as written by Ralph Waldo Emerson,gpt-3.5-turbo,10454,8,6,2,0,50
Escape Mechanism,gpt-4o,7866,31,9,8,14,181
Escape Mechanism,gpt-3.5-turbo,8000,7,3,3,1,181
The Fatal Third,gpt-4o,6330,24,13,3,8,126
The Fatal Third,gpt-3.5-turbo,6446,11,7,3,1,126
Fishin' Jimmy,gpt-4o,9967,14,6,3,5,42
Fishin' Jimmy,gpt-3.5-turbo,10111,9,5,4,0,42
The Geisha Memory,gpt-4o,5945,16,8,4,4,98
The Geisha Memory,gpt-3.5-turbo,6014,8,5,3,0,98
Vocation,gpt-4o,10343,28,13,7,8,304
Vocation,gpt-3.5-turbo,10451,10,7,3,0,304
"The Man Who Stole A Meeting-House
1878, From ""Coupon Bonds""",gpt-4o,11242,171,132,18,21,199
"The Man Who Stole A Meeting-House
1878, From ""Coupon Bonds""",gpt-3.5-turbo,11460,7,5,2,0,199
"Marianson
From ""Mackinac And Lake Stories"", 1899",gpt-4o,6149,20,13,7,0,111
"Marianson
From ""Mackinac And Lake Stories"", 1899",gpt-3.5-turbo,6179,5,4,1,0,111
The Yellow Wallpaper,gpt-4o,7681,12,6,4,2,267
The Yellow Wallpaper,gpt-3.5-turbo,7704,2,1,1,0,267
The ghost of Lancelot Biggs,gpt-4o,9599,30,13,8,9,191
The ghost of Lancelot Biggs,gpt-3.5-turbo,9802,9,7,2,0,191
Among the Scented Ones,gpt-4o,8206,15,9,4,2,204
Among the Scented Ones,gpt-3.5-turbo,8315,13,6,6,1,204
To Pay the Piper,gpt-4o,7598,13,6,4,3,132
To Pay the Piper,gpt-3.5-turbo,7750,11,7,3,1,132
Shepherds for Science,gpt-4o,13139,25,13,11,1,410
Shepherds for Science,gpt-3.5-turbo,13238,11,7,4,0,410
The Scamperers,gpt-4o,7920,18,10,3,5,213
The Scamperers,gpt-3.5-turbo,8010,13,9,4,0,213
Making Good for Muley,gpt-4o,11497,10,6,4,0,303
Making Good for Muley,gpt-3.5-turbo,11694,13,7,6,0,303
This World is Ours!,gpt-4o,7197,17,9,5,3,210
This World is Ours!,gpt-3.5-turbo,7282,12,7,5,0,210
Madmen of Mars,gpt-4o,10622,23,11,3,9,258
Madmen of Mars,gpt-3.5-turbo,10792,5,2,3,0,258
Cupid's Almanac and Guide to Hearticulture for This Year and Next,gpt-4o,5640,14,9,3,2,205
Cupid's Almanac and Guide to Hearticulture for This Year and Next,gpt-3.5-turbo,5741,12,9,3,0,205
"The Pilgrim, and the American of Today—(1892)",gpt-4o,5509,11,2,3,6,21
"The Pilgrim, and the American of Today—(1892)",gpt-3.5-turbo,5538,10,8,2,0,21
Mr. Caxton draws a Martian bird,gpt-4o,5699,46,29,7,10,142
Mr. Caxton draws a Martian bird,gpt-3.5-turbo,5814,6,6,0,0,142
Poison Planet,gpt-4o,7755,22,12,7,3,163
Poison Planet,gpt-3.5-turbo,7858,14,10,4,0,163
Pollony Undiverted,gpt-4o,4604,26,12,7,7,186
Pollony Undiverted,gpt-3.5-turbo,4689,6,4,2,0,186
The madness of Lancelot Biggs,gpt-4o,9232,81,28,5,48,209
The madness of Lancelot Biggs,gpt-3.5-turbo,9464,16,9,7,0,209
Assignment on Venus,gpt-4o,6842,139,88,18,33,145
Assignment on Venus,gpt-3.5-turbo,6888,8,7,1,0,145
Misrule,gpt-4o,4550,18,12,0,6,92
Misrule,gpt-3.5-turbo,4604,12,7,4,1,92
Thompson's Cat,gpt-4o,6041,10,8,2,0,167
Thompson's Cat,gpt-3.5-turbo,6069,6,4,2,0,167
"P.'s Correspondence (From ""Mosses from an Old Manse"")",gpt-4o,9021,17,7,2,8,33
"P.'s Correspondence (From ""Mosses from an Old Manse"")",gpt-3.5-turbo,9075,12,0,0,12,33
The skipper knows best,gpt-4o,8729,21,11,3,7,145
The skipper knows best,gpt-3.5-turbo,8776,23,8,15,0,145
Pygmalion's Spectacles,gpt-4o,9940,28,14,9,5,220
Pygmalion's Spectacles,gpt-3.5-turbo,10072,12,9,3,0,220
Evergreens,gpt-4o,7773,106,72,5,29,101
Evergreens,gpt-3.5-turbo,7859,21,18,3,0,101
Oneness,gpt-4o,8404,32,11,10,11,124
Oneness,gpt-3.5-turbo,8493,11,8,3,0,124
Hoiman and the Solar Circuit,gpt-4o,5575,31,7,3,21,108
Hoiman and the Solar Circuit,gpt-3.5-turbo,5661,10,7,2,1,108
Outcast of the Stars,gpt-4o,6201,12,9,3,0,167
Outcast of the Stars,gpt-3.5-turbo,6324,7,3,4,0,167
One Purple Hope!,gpt-4o,9320,123,85,24,14,187
One Purple Hope!,gpt-3.5-turbo,9469,11,10,1,0,187
Death of a mutant,gpt-4o,6172,34,13,6,15,128
Death of a mutant,gpt-3.5-turbo,6272,7,5,2,0,128
Excitement for sale,gpt-4o,13490,21,11,7,3,340
Excitement for sale,gpt-3.5-turbo,13877,9,6,3,0,340
The man who was pale,gpt-4o,5280,34,22,8,4,137
The man who was pale,gpt-3.5-turbo,5381,8,7,1,0,137
Tongues of the Moon,gpt-4o,13995,18,9,7,2,309
Tongues of the Moon,gpt-3.5-turbo,14113,11,10,1,0,309
McGonigal's Worm,gpt-4o,3754,16,6,3,7,78
McGonigal's Worm,gpt-3.5-turbo,3783,12,7,4,1,78
West o' Mars,gpt-4o,7972,34,20,4,10,157
West o' Mars,gpt-3.5-turbo,8104,6,4,2,0,157
Travelogue,gpt-4o,6926,39,20,10,9,152
Travelogue,gpt-3.5-turbo,7045,7,5,2,0,152
Tomorrow the World!,gpt-4o,13324,13,9,3,1,236
Tomorrow the World!,gpt-3.5-turbo,13415,2,1,1,0,236
Pastoral Affair,gpt-4o,5485,33,20,6,7,141
Pastoral Affair,gpt-3.5-turbo,5523,8,6,2,0,141
Suicide Command,gpt-4o,8267,37,26,4,7,199
Suicide Command,gpt-3.5-turbo,8500,12,10,2,0,199
Into the blue,gpt-4o,11359,36,15,9,12,195
Into the blue,gpt-3.5-turbo,11378,9,7,2,0,195
Retief of the Red-Tape Mountain,gpt-4o,7833,15,11,1,3,217
Retief of the Red-Tape Mountain,gpt-3.5-turbo,7944,7,5,2,0,217
Membership Drive,gpt-4o,4576,24,15,3,6,101
Membership Drive,gpt-3.5-turbo,4663,9,6,3,0,101
The Elroom,gpt-4o,4453,146,51,6,89,147
The Elroom,gpt-3.5-turbo,4515,11,9,2,0,147
Modern Fiction,gpt-4o,9092,24,0,0,24,25
Modern Fiction,gpt-3.5-turbo,9161,36,2,0,34,25
"Martians, keep out!",gpt-4o,9521,15,12,3,0,203
"Martians, keep out!",gpt-3.5-turbo,9684,3,2,1,0,203
Les Machines,gpt-4o,5013,95,59,4,32,242
